id,nome,descricao,preco,imagem
1,Café Expresso,Um café forte e encorpado,5.00,https://example.com/cafe_expresso.jpg
2,Cappuccino,Um café com leite e espuma,8.00,https://example.com/cappuccino.jpg
3,Latte,Um café com leite cremoso,7.50,https://example.com/latte.jpg
4,Chocolate Quente com Especiarias,Bebida sazonal de inverno,9.00,https://example.com/chocolate_quente.jpg
5,Chá de Ervas Orgânicas,Chá feito com ervas orgânicas,6.00,https://example.com/cha_ervas.jpg
6,Frappuccino de Caramelo,Bebida gelada com caramelo,10.00,https://example.com/frappuccino.jpg
7,Smoothie de Frutas Tropicais,Bebida gelada com frutas tropicais,12.00,https://example.com/smoothie.jpg
8,Chá Gelado com Limão e Hortelã,Chá gelado refrescante,7.00,https://example.com/cha_gelado.jpg
9,Refresco de Verão com Frutas Tropicais,Bebida sazonal de verão,8.50,https://example.com/refresco.jpg
10,Latte com Leite de Amêndoas,Latte feito com leite de amêndoas,8.00,https://example.com/latte_amendoas.jpg
11,Bolo de Cenoura Sem Glúten,Bolo de cenoura sem glúten,6.50,https://example.com/bolo_cenoura.jpg
12,Cookie Vegano de Chocolate,Um cookie vegano delicioso,5.00,https://example.com/cookie_vegano.jpg
13,Sanduíche de Grão-de-Bico e Abacate,Sanduíche saudável e vegano,12.00,https://example.com/sanduiche_grao_abacate.jpg
14,Croissant de Queijo e Presunto,Croissant recheado,7.50,https://example.com/croissant.jpg
15,Torta de Maçã com Canela,Torta de maçã com canela,8.00,https://example.com/torta_maca.jpg
16,Brownie de Chocolate Artesanal,Brownie artesanal,6.00,https://example.com/brownie.jpg
17,Mini Sanduíches Infantis,Sanduíches para crianças,5.00,https://example.com/mini_sanduiches.jpg
18,Salada de Frutas Orgânicas,Salada de frutas frescas,10.00,https://example.com/salada_frutas.jpg
19,Tábua de Queijos Artesanais,Variedade de queijos,15.00,https://example.com/tabua_queijos.jpg
20,Chocolate Artesanal com Café,Chocolate com café,7.00,https://example.com/chocolate_cafe.jpg
21,Mini Sanduíche de Queijo e Presunto,Sanduíche para crianças,5.00,https://example.com/mini_sanduiche.jpg
22,Suco Natural de Laranja,Suco de laranja fresco,4.50,https://example.com/suco_laranja.jpg
23,Biscoitos Decorados,Biscoitos decorados,3.50,https://example.com/biscoitos.jpg
